Title	Edition	Real Edition
Roleplayer #18	GURPS	3
Roleplayer #19	GURPS	3
Roleplayer #2	GURPS	3
Roleplayer #20	GURPS	3
Roleplayer #21	GURPS	3
Roleplayer #22	GURPS	3
Roleplayer #23	GURPS	3
Roleplayer #24	GURPS	3
Roleplayer #25	GURPS	3
Roleplayer #26	GURPS	3
Roleplayer #27	GURPS	3
Roleplayer #28	GURPS	3
Roleplayer #29	GURPS	3
Roleplayer #3	GURPS	3
Roleplayer #30	GURPS	3
Roleplayer #4	GURPS	3
Roleplayer #5	GURPS	3
Roleplayer #6	GURPS	3
Roleplayer #7	GURPS	3
Roleplayer #8	GURPS	3
Roleplayer #9	GURPS	3
Sahudese Fire Drill	GURPS	3
Servant Robot	GURPS	3
Temple of the Lost Gods	GURPS	3
"The Best of JTAS, Volume 1"	GURPS Traveller	3
Vorkosigan Saga Sourcebook and Roleplaying Game	GURPS 4e	4
Weird War II: The Secret of the Gneisenau	GURPS WWII	3
